card_name,set_name,number_in_set,printing_option,condition,market_price,image
Blastoise,Base Set 2,2,Holofoil,Lightly Played,66.74,https://images.pokemontcg.io/base4/2.png
Blastoise,Base Set 2,2,Holofoil,Near Mint,102.07,https://images.pokemontcg.io/base4/2.png
Brock's Rhydon,Gym Heroes,2,Unlimited Holofoil,Damaged,36.65,https://images.pokemontcg.io/gym1/2.png
Brock's Rhydon,Gym Heroes,2,Unlimited Holofoil,Heavily Played,29.05,https://images.pokemontcg.io/gym1/2.png
Brock's Rhydon,Gym Heroes,2,Unlimited Holofoil,Moderately Played,55.76,https://images.pokemontcg.io/gym1/2.png
Brock's Rhydon,Gym Heroes,2,Unlimited Holofoil,Lightly Played,15.61,https://images.pokemontcg.io/gym1/2.png
Brock's Rhydon,Gym Heroes,2,Unlimited Holofoil,Near Mint,126.33,https://images.pokemontcg.io/gym1/2.png
Brock's Rhydon,Gym Heroes,2,1st Edition Holofoil,Damaged,36.65,https://images.pokemontcg.io/gym1/2.png
Brock's Rhydon,Gym Heroes,2,1st Edition Holofoil,Heavily Played,29.05,https://images.pokemontcg.io/gym1/2.png
Brock's Rhydon,Gym Heroes,2,1st Edition Holofoil,Moderately Played,55.76,https://images.pokemontcg.io/gym1/2.png
Brock's Rhydon,Gym Heroes,2,1st Edition Holofoil,Lightly Played,15.61,https://images.pokemontcg.io/gym1/2.png
Brock's Rhydon,Gym Heroes,2,1st Edition Holofoil,Near Mint,126.33,https://images.pokemontcg.io/gym1/2.png
Azumarill,HeartGold & SoulSilver,2,Holofoil,Damaged,1.98,https://images.pokemontcg.io/hgss1/2.png
Azumarill,HeartGold & SoulSilver,2,Holofoil,Heavily Played,,https://images.pokemontcg.io/hgss1/2.png
Azumarill,HeartGold & SoulSilver,2,Holofoil,Moderately Played,2.36,https://images.pokemontcg.io/hgss1/2.png
Azumarill,HeartGold & SoulSilver,2,Holofoil,Lightly Played,3.38,https://images.pokemontcg.io/hgss1/2.png
Azumarill,HeartGold & SoulSilver,2,Holofoil,Near Mint,4.61,https://images.pokemontcg.io/hgss1/2.png
Azumarill,HeartGold & SoulSilver,2,Reverse Holofoil,Damaged,1.98,https://images.pokemontcg.io/hgss1/2.png
Azumarill,HeartGold & SoulSilver,2,Reverse Holofoil,Heavily Played,,https://images.pokemontcg.io/hgss1/2.png
Azumarill,HeartGold & SoulSilver,2,Reverse Holofoil,Moderately Played,2.36,https://images.pokemontcg.io/hgss1/2.png
Azumarill,HeartGold & SoulSilver,2,Reverse Holofoil,Lightly Played,3.38,https://images.pokemontcg.io/hgss1/2.png
Azumarill,HeartGold & SoulSilver,2,Reverse Holofoil,Near Mint,4.61,https://images.pokemontcg.io/hgss1/2.png
Ludicolo,Detective Pikachu,2,Holofoil,Damaged,0.38,https://images.pokemontcg.io/det1/2.png
Ludicolo,Detective Pikachu,2,Holofoil,Heavily Played,0.28,https://images.pokemontcg.io/det1/2.png
Ludicolo,Detective Pikachu,2,Holofoil,Moderately Played,0.47,https://images.pokemontcg.io/det1/2.png
Ludicolo,Detective Pikachu,2,Holofoil,Lightly Played,0.51,https://images.pokemontcg.io/det1/2.png
Ludicolo,Detective Pikachu,2,Holofoil,Near Mint,0.67,https://images.pokemontcg.io/det1/2.png
Weedle,Team Up,2,Normal,Damaged,0.01,https://images.pokemontcg.io/sm9/2.png
Weedle,Team Up,2,Normal,Heavily Played,,https://images.pokemontcg.io/sm9/2.png
Weedle,Team Up,2,Normal,Moderately Played,0.14,https://images.pokemontcg.io/sm9/2.png
Weedle,Team Up,2,Normal,Lightly Played,0.14,https://images.pokemontcg.io/sm9/2.png
Weedle,Team Up,2,Normal,Near Mint,0.38,https://images.pokemontcg.io/sm9/2.png
Weedle,Team Up,2,Reverse Holofoil,Damaged,0.01,https://images.pokemontcg.io/sm9/2.png
Weedle,Team Up,2,Reverse Holofoil,Heavily Played,,https://images.pokemontcg.io/sm9/2.png
Weedle,Team Up,2,Reverse Holofoil,Moderately Played,0.14,https://images.pokemontcg.io/sm9/2.png
Weedle,Team Up,2,Reverse Holofoil,Lightly Played,0.14,https://images.pokemontcg.io/sm9/2.png
Weedle,Team Up,2,Reverse Holofoil,Near Mint,0.38,https://images.pokemontcg.io/sm9/2.png
Aggron,Legend Maker,2,Holofoil,Damaged,2.81,https://images.pokemontcg.io/ex12/2.png
Aggron,Legend Maker,2,Holofoil,Heavily Played,4.13,https://images.pokemontcg.io/ex12/2.png
Aggron,Legend Maker,2,Holofoil,Moderately Played,6.92,https://images.pokemontcg.io/ex12/2.png
